place_id,place_namt,keyword,address,person,otherworkspace,cospace,government,habitat,education,religious,health,hotel,factory,other,classification
0008cb06-71e4-46d4-a5c2-622232dc18bb,ชุมชนบ้านต่ำบุญศิริ อุดมทรัพย์ซอย10,habitat,22,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
00146dc8-14ec-41a0-8ed7-0c5a8c09bcaf,ศูนย์​พัฒนาเด็กเล็กวัดไผ่โรงวัว,education,0,0,0,0,0,0,20,0,0,0,0,0,สถานศึกษา
00148805-af73-4036-8a30-a3f46f665ce6,ชุมชนพระยาสุพรรณ,habitat,58,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
0019fb74-9aa1-490f-b187-8d20dc004467,โรงเรียนบ้านห้วยปลาดุก,education,0,0,0,0,0,0,2,0,0,0,0,0,สถานศึกษา
001fd535-9ebf-8e6a-3b8e-f7204fbdf97a,รพ.สต.หลวงประกอบนิติสาร (บ้านหนองอ้อ),health,0,0,0,0,0,0,0,0,10,0,0,0,สาธารณสุข
002c425f-0ae5-46ad-9e1c-8524db881c2e,โรงเรียนชาติวิทยา,education,0,0,0,1,0,0,2,0,0,0,0,0,สถานศึกษา
0036bca2-9549-4948-9f58-239a69c695b9,บ้านโนนไทย หมู่ 6,habitat,30,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
003e51c1-7353-4257-9818-b63e2580091f,ม.8,address,122,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
004b9d5d-cb20-499d-bff9-dc04583001c7,บ.ดงสง่า,habitat,35,1,0,0,0,0,0,0,0,0,0,3,หมู่บ้าน/ชุมชน
00575b46-7d6c-4f0a-812a-98d3c670fd92,รพ.สต.บางแก้วฟ้า,health,0,0,0,0,0,0,0,0,10,0,0,0,สาธารณสุข
005cba12-051d-449a-bfaf-1a0ece00952f,ศูนย์พัฒนาเด็กเล็กบ้านคลองหิน,education,0,0,0,0,0,0,10,0,0,0,0,0,สถานศึกษา
008c9405-2705-4f36-a3d1-d2ddb34e4c62,ม.4,address,107,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
0093e34a-28f8-4924-806b-1a801e522a59,หมู่​ 6​ บ้านหนองโพธิ์,habitat,40,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
0099db0e-ffdc-4c31-be10-e5b57a982cf2,โรงพยาบาลสุโขทัย1,health,0,0,0,1,0,0,0,0,1,0,0,0,สาธารณสุข
00b63b30-f979-44c0-b234-92df6df42e4d,หมู่5 บ้านหนองหมู,habitat,41,0,0,0,0,0,0,0,0,0,0,0,หมู่บ้าน/ชุมชน
